metric,cad_value,cad_err,none_value,none_err,ratio,ratio_err
hits_per_thrown,0.023008,0.000212031280409283,0.0231,0.00015022113699476517,0.9960173160173161,0.011234100889586622
through_per_thrown,0.01692,0.00018239360515105786,0.022643,0.00014876254418031443,0.7472508059886058,0.009433344278823821
through_fraction_of_hits,0.7353963838664812,0.004112767850666891,0.9802164502164502,0.0009162354973725499,0.7502387699207577,0.004253975496876789
charge_p99_hits,437322.77781249915,0.0,207714.6896875001,0.0,2.1054013005552803,0.0
charge_p99_through,444435.01734319277,0.0,210163.4524664142,0.0,2.114711250350329,0.0
