stage,count,fraction_of_thrown,fraction_of_hits,fraction_of_prev
thrown,500000,1.0,1.0,1.0
hits,11504,0.023008,1.0,0.023008
quality,10688,0.021376,0.9290681502086231,0.9290681502086231
throughgoing,8460,0.01692,0.7353963838664812,0.7915419161676647
