charge,npix,sigma_x,sigma_y,sigma_long,sigma_trans,elongation,phi_pca,length_pix_img,length_pix_geom,length_bbox_pix,is_truncated,event_idx,edep_GeV,trackLen_cm,theta,phi,length_geom_cm,length_expected_cm,length_expected_pix,length_image_cm,canvas_w,canvas_h,peak_charge
207131.34375,1203,14.594504313212713,16.089386612972604,21.550145186209015,2.7311463130705538,7.890512889432412,-0.8356730601200758,76.34211022779817,88.01313749330535,67.0,False,381937,0.0007738333783136521,0.13201970623995804,2.143978318377552,2.3060526413265485,0.13201970623995804,0.11033110547658262,73.55407031772174,0.11451316534169725,137,137,575.1773681640625
132950.53125,247,4.89261841350557,2.4663835662906988,5.127261288163675,1.9318267311383708,2.6540999798373868,-0.3287351821714814,20.565346986192864,50.84614975969165,24.0,False,264384,0.0004974871230490682,0.07626922463953748,2.8112366843958436,-0.32812699225091563,0.07626922463953748,0.023680047025211433,15.786698016807623,0.030848020479289296,99,99,1811.4466552734375
94346.375,655,12.89067565849261,3.9492459344214472,13.290440547286263,2.265006057839014,5.867728477497469,0.24961852588746086,48.03279012066632,66.2709104017519,54.0,False,339714,0.00035188153940496147,0.09940636560262786,2.3897121397587915,0.2494342609496171,0.09940636560262786,0.06801011338266776,45.340075588445174,0.07204918518099948,115,115,441.4931945800781
102879.9453125,579,4.5970915571662845,11.108308330125709,11.81533851487208,2.21935587977462,5.323769217252328,-1.9250689465219601,43.20775171292062,64.51354810792283,48.0,False,371710,0.0003839838452643411,0.09677032216188423,2.4707837185475894,1.2162553433564942,0.09677032216188423,0.0640955946326646,42.7303964217764,0.06481162756938093,113,113,545.9711303710938
332129.0,255,3.0050128529272975,4.773086702082268,5.296949579261925,1.9377265200770077,2.733589866464447,-2.0554510167840863,21.376970605537274,51.358773366019754,24.0,False,372843,0.0012432840279508347,0.07703816004902964,2.8022366779148924,1.0856675973305376,0.07703816004902964,0.02605049142991172,17.366994286607813,0.03206545590830591,100,100,4364.72314453125
169645.828125,284,4.784553138279531,4.003336330514601,5.925255697456677,1.9519209584396071,3.035602272641926,0.6748259328965626,23.426104018622162,52.042597731352004,24.0,False,403566,0.0006344726358837397,0.078063896597028,2.7603553288415847,0.6740345527072787,0.078063896597028,0.02894342674790734,19.295617831938227,0.035139156027933244,101,101,1942.8909912109375
181310.640625,694,9.848815606550989,9.98117761580528,13.829783548754712,2.31520246300151,5.9734661524268144,-0.7924578355916679,49.54616024272684,69.40490013151181,44.0,False,443868,0.00067714282601829,0.10410735019726772,2.395677321650082,2.348924274200802,0.10410735019726772,0.07471338812486382,49.80892541657588,0.07431924036409027,118,118,812.250244140625
68226.0703125,324,2.1007321452479766,6.929227288563524,6.964969734224393,1.9790055492569372,3.51942910763416,-1.6765214902760073,26.74371176050466,53.07140548620672,32.0,False,171706,0.0002551262755586001,0.07960710822931008,2.690658041233532,1.465109876212921,0.07960710822931008,0.032879198296690344,21.919465531126896,0.040115567640756994,102,102,655.7277221679688
146890.21875,387,8.114449990511526,2.0450178828551393,8.11629426508647,2.0376859896054365,3.983093718310373,0.022024034637346656,30.102835693526956,55.5088645699136,37.0,False,158654,0.0005481809820032373,0.0832632968548704,2.6303197059504013,0.021369999753773256,0.0832632968548704,0.04094541003753995,27.296940025026633,0.045154253540290436,104,104,1161.7347412109375
57751.15625,238,4.774286822304277,2.070014486192916,4.828774815381449,1.9395124173396394,2.489684918854455,0.16431546379675768,19.561965924364145,50.90962370635116,24.0,False,59789,0.00021592334746468924,0.07636443555952675,2.834499649248605,-2.9757550392896723,0.07636443555952675,0.02398493315240036,15.989955434933572,0.02934294888654622,99,99,839.8115844726562
54299.203125,259,2.6312190210400517,5.1786210652484606,5.477174926394536,1.934420972744318,2.8314286308756236,-1.2152750531776109,21.88201523027292,51.208845351878,25.0,False,129411,0.00020331125641433797,0.07681326802781699,2.7871043630605175,1.9260471623991748,0.07681326802781699,0.02537770961125644,16.91847307417096,0.03282302284540938,100,100,686.5402221679688
51949.5859375,155,2.3972203568782433,2.7398327169744827,3.117856020996429,1.87944741580379,1.658921656854658,-0.9295842617677285,13.792181103930158,49.27003626482625,16.0,False,77780,0.00019558503345686634,0.07390505439723938,2.9634028309927336,2.212386158720021,0.07390505439723938,0.014342491605676994,9.56166107045133,0.02068827165589524,98,98,1321.3865966796875
67437.640625,312,5.868533085131371,3.596569835492217,6.594356464364495,1.9721708784352938,3.34370441043953,0.49833981531419347,25.53788339809399,52.90046869615488,28.0,False,177293,0.000252128334593688,0.07935070304423232,2.7172800506704333,-2.6434537470045494,0.07935070304423232,0.032253435066887624,21.50229004459175,0.038306825097140985,101,101,687.4197998046875
68329.4296875,141,2.2202180022007028,2.544509022047967,2.8088744067099247,1.874598279074626,1.4983873814802036,-0.9658532987744806,12.46017079236709,48.92150586988396,15.0,False,380568,0.0002574650732218076,0.07338225880482593,2.989991834822954,-0.9660430695255092,0.07338225880482593,0.011344862594957246,7.563241729971497,0.01869025618855064,97,97,1948.58642578125
165766.5,479,7.644048005654211,6.8629834848807745,10.05478483902319,2.105543651279111,4.775386552976444,0.7266540875060054,37.37050007482772,59.45561333807778,35.0,False,457054,0.0006192074708713235,0.08918342000711667,2.5335954658898685,-2.414985679463459,0.08918342000711667,0.05193681164805726,34.62454109870484,0.05605575011224157,108,108,1051.5322265625
